model,mode,best_val_acc,best_val_loss,best_epoch,train_acc,train_loss
exp1,basic,0.605263174,33.25349426,40,0.848684192,18.66317558
exp2,basic,0.157894731,255.9879913,3,0.157894731,2.531217575
exp3,basic,0.105263159,2.804607391,4,0.105263159,2.782344103
exp4,basic,0.236842111,38.19296265,7,0.105263159,4.790138245
exp5,basic,0.157894731,84.37839508,4,0.118421055,2.733565569
exp6,basic,0.131578952,141.3634491,1,0.078947365,2.864198685
exp7,basic,0.236842111,3.175735474,14,0.210526317,2.503655672
exp8,basic,0.947368443,0.249592453,41,0.953947365,0.22074993
exp9,basic,1.0,0.347904891,31,0.782894731,0.585011244
exp1,aug,0.763157904,25.84877205,25,0.552631557,24.78238869
exp2,aug,0.1842105239629745,2.5920302867889404,21,0.1184210553765297,2.5596160888671875
exp3,aug,0.078947365283966,10.85077667236328,1,0.0263157896697521,2.944622755050659
exp4,aug,0.2368421107530594,28.35986328125,12,0.1052631586790084,4.704756259918213
exp5,aug,0.1578947305679321,97.201904296875,4,0.1052631586790084,2.778117418289185
exp6,aug,0.1578947305679321,45.412784576416016,4,0.0921052619814872,2.956770420074463
exp7,aug,0.289473682641983,28.87152671813965,7,0.25,2.2958478927612305
exp8,aug,0.9473684430122375,0.1965563148260116,37,0.921052634716034,0.3849529922008514
exp9,aug,0.9736841917037964,0.32076171040534973,37,0.8355262875556946,0.4829530119895935
