model,mode,train_type,accuracy
exp1,basic,single,0.3789473684210526
exp2,basic,single,0.0631578947368421
exp3,basic,single,0.0526315789473684
exp4,basic,single,0.0526315789473684
exp5,basic,single,0.0736842105263157
exp6,basic,single,0.0736842105263157
exp7,basic,single,0.1368421052631579
exp8,basic,single,0.8210526315789474
exp9,basic,single,0.8421052631578947
exp1,basic,kfold,0.431578947368421
exp2,basic,kfold,0.0842105263157894
exp3,basic,kfold,0.0526315789473684
exp4,basic,kfold,0.1578947368421052
exp5,basic,kfold,0.1157894736842105
exp6,basic,kfold,0.1157894736842105
exp7,basic,kfold,0.1052631578947368
exp8,basic,kfold,0.8315789473684211
exp9,basic,kfold,0.8
exp1,aug,single,0.3157894736842105
exp2,aug,single,0.0631578947368421
exp3,aug,single,0.0526315789473684
exp4,aug,single,0.1578947368421052
exp5,aug,single,0.0736842105263157
exp6,aug,single,0.0947368421052631
exp7,aug,single,0.1368421052631579
exp8,aug,single,0.8105263157894737
exp9,aug,single,0.8315789473684211
exp1,aug,kfold,0.4842105263157895
exp2,aug,kfold,0.031578947368421
exp3,aug,kfold,0.0526315789473684
exp4,aug,kfold,0.0842105263157894
exp5,aug,kfold,0.0526315789473684
exp6,aug,kfold,0.0842105263157894
exp7,aug,kfold,0.231578947368421
exp8,aug,kfold,0.8315789473684211
exp9,aug,kfold,0.8105263157894737
